,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
3445,2016-10-19,16200,16440,16080,16340,1.11%,16064.0,16452.0,16978.0,16270.0,16105.0,16050.0,1232175.0,928977.0,1383384.0,1549823.0,63032515.0,0.36,46.55,95.56,56.72,817695370.0
3446,2016-10-20,16420,16580,16200,16200,-0.86%,16132.0,16439.0,16939.0,16570.0,16300.0,16210.0,1392840.0,1003767.0,1404019.0,1557781.0,63020581.0,0.02,44.8,94.96,50.32,816302530.0
3447,2016-10-21,16320,16340,16080,16120,-0.49%,16184.0,16400.0,16898.0,16390.0,16295.0,16010.0,961275.0,1047292.0,1359118.0,1558107.0,63015834.0,-0.36,43.81,96.64,43.51,815341255.0
3448,2016-10-24,16340,16340,16100,16140,0.12%,16192.0,16371.0,16860.0,16230.0,16165.0,15970.0,750590.0,1036968.0,1330343.0,1555933.0,63016765.0,-0.63,44.13,97.7,38.73,816091845.0
3449,2016-10-25,16060,16540,16060,16460,1.98%,16252.0,16368.0,16829.0,16240.0,16180.0,16000.0,1525925.0,1172561.0,1362410.0,1562702.0,63047019.0,-0.73,49.13,100.98,36.22,817617770.0
3450,2016-10-26,16480,16500,16080,16180,-1.70%,16220.0,16341.0,16795.0,16740.0,16380.0,16260.0,947980.0,1115722.0,1368977.0,1562496.0,63030893.0,-0.8,45.38,100.87,34.58,816669790.0
3451,2016-10-27,16180,16360,16160,16260,0.49%,16232.0,16326.0,16761.0,16340.0,16235.0,15920.0,616175.0,960389.0,1358126.0,1554385.0,63033940.0,-0.81,46.61,102.52,34.27,817285965.0
3452,2016-10-28,16180,16220,15920,15920,-2.09%,16192.0,16295.0,16723.0,16410.0,16260.0,16210.0,1498260.0,1067786.0,1373969.0,1559678.0,63002611.0,-0.97,42.34,100.38,30.17,815787705.0
3453,2016-10-31,15920,15980,15280,15280,-4.02%,16020.0,16241.0,16674.0,16070.0,15995.0,15770.0,2491170.0,1415902.0,1403360.0,1581616.0,62902463.0,-1.29,35.82,94.91,25.17,813296535.0
3454,2016-11-01,15120,15320,14800,14920,-2.36%,15712.0,16175.0,16620.0,15630.0,15455.0,14930.0,1942160.0,1499149.0,1412604.0,1603744.0,62856706.0,-1.71,32.82,92.33,20.87,811354375.0
3455,2016-11-02,14800,14900,14260,14260,-4.42%,15328.0,16033.0,16544.0,15120.0,14990.0,14600.0,3200795.0,1949712.0,1390474.0,1622376.0,62715115.0,-2.55,28.24,87.27,12.25,808153580.0
3456,2016-11-03,14080,14520,14060,14280,0.14%,14932.0,15894.0,16475.0,14580.0,14420.0,13940.0,1918610.0,2210199.0,1389333.0,1632128.0,62717806.0,-3.32,28.56,88.15,6.12,810072190.0
3457,2016-11-04,14240,14800,14240,14640,2.52%,14676.0,15792.0,16412.0,14630.0,14285.0,14170.0,1403900.0,2191327.0,1398854.0,1638088.0,62753199.0,-3.71,34.12,90.82,5.56,811476090.0
3458,2016-11-07,14640,14840,14620,14740,0.68%,14568.0,15703.0,16352.0,15000.0,14580.0,14440.0,779855.0,1849064.0,1401708.0,1634529.0,62758526.0,-4.08,35.59,91.33,5.11,812255945.0
3459,2016-11-08,14860,14900,14760,14860,0.81%,14556.0,15631.0,16290.0,14900.0,14735.0,14680.0,716400.0,1603912.0,1373113.0,1622440.0,62764358.0,-4.5,37.36,90.28,4.67,812972345.0
3460,2016-11-09,14860,14920,13980,14260,-4.04%,14556.0,15542.0,16219.0,14930.0,14845.0,14790.0,2649965.0,1493746.0,1372039.0,1641755.0,62657361.0,-4.89,32.62,88.13,4.34,810322380.0
3461,2016-11-10,15060,15980,15040,15940,11.78%,14888.0,15546.0,16180.0,14590.0,14355.0,13650.0,5914600.0,2292944.0,1616825.0,1702079.0,63354172.0,-4.78,50.98,98.03,4.44,816236980.0
3462,2016-11-11,15960,15960,15380,15560,-2.38%,15072.0,15531.0,16141.0,16430.0,15725.0,15490.0,2166645.0,2445493.0,1687974.0,1674666.0,63302520.0,-4.69,47.87,97.74,4.52,814070335.0
3463,2016-11-14,15560,15640,15160,15160,-2.57%,15156.0,15484.0,16099.0,15760.0,15615.0,15180.0,1305095.0,2550541.0,1713119.0,1664608.0,63268970.0,-4.66,44.83,99.21,4.56,812765240.0
3464,2016-11-15,15120,15420,15060,15200,0.26%,15224.0,15436.0,16059.0,15400.0,15280.0,14920.0,932000.0,2593661.0,1717321.0,1651559.0,63271430.0,-4.57,45.19,101.88,6.17,813697240.0
3465,2016-11-16,15300,16100,15300,16060,5.66%,15584.0,15422.0,16037.0,15490.0,15220.0,15130.0,2831230.0,2629914.0,1797274.0,1662646.0,63431618.0,-3.81,52.39,112.62,15.87,816528470.0
3466,2016-11-17,16120,16220,15900,16200,0.87%,15636.0,15422.0,16025.0,16480.0,15880.0,15680.0,1197860.0,1686566.0,1787524.0,1632371.0,63442060.0,-2.97,53.44,113.45,25.11,817726330.0
3467,2016-11-18,16120,16360,16000,16140,-0.37%,15752.0,15423.0,16018.0,16370.0,16130.0,16050.0,1407110.0,1534659.0,1809816.0,1618386.0,63436848.0,-2.34,52.92,110.25,31.46,816319220.0
3468,2016-11-21,16080,16100,15660,15800,-2.11%,15880.0,15406.0,16013.0,16430.0,16160.0,16070.0,933190.0,1460278.0,1818946.0,1562113.0,63417190.0,-1.89,49.96,107.19,35.57,815386030.0
3469,2016-11-22,15800,16400,15800,16360,3.54%,16112.0,15401.0,16011.0,15950.0,15840.0,15510.0,1726720.0,1619222.0,1828986.0,1532852.0,63478390.0,-1.47,54.39,110.09,39.51,817112750.0
3470,2016-11-23,16360,16480,16120,16380,0.12%,16176.0,15411.0,16014.0,16680.0,16230.0,16080.0,1367855.0,1326547.0,1849980.0,1526782.0,63480062.0,-0.84,54.54,114.87,44.52,818480605.0
3471,2016-11-24,16340,16400,16080,16140,-1.47%,16164.0,15405.0,16013.0,16610.0,16340.0,16250.0,868755.0,1260726.0,1862609.0,1520008.0,63467333.0,-0.91,52.34,101.25,44.05,817611850.0
3472,2016-11-25,16140,16320,16060,16260,0.74%,16188.0,15422.0,16020.0,16270.0,16190.0,15950.0,848215.0,1148947.0,1830106.0,1494242.0,63473640.0,-0.7,53.33,104.5,45.52,818460065.0
3473,2016-11-28,16280,16280,15820,15880,-2.34%,16204.0,15452.0,16018.0,16420.0,16225.0,16160.0,1065000.0,1175309.0,1758798.0,1487529.0,63448750.0,-0.21,49.85,104.75,48.68,817395065.0
3474,2016-11-29,15920,16220,15820,15960,0.50%,16124.0,15504.0,16013.0,16080.0,15965.0,15620.0,968590.0,1023683.0,1710120.0,1475127.0,63453630.0,0.44,50.57,105.0,52.86,818363655.0
3475,2016-11-30,15900,15980,15540,15540,-2.63%,15956.0,15568.0,15998.0,16290.0,15990.0,15890.0,1279765.0,1006065.0,1614068.0,1468622.0,63419952.0,0.95,46.86,96.76,56.58,817083890.0
3476,2016-12-01,15460,15740,15340,15340,-1.29%,15796.0,15621.0,15984.0,15760.0,15650.0,15320.0,942500.0,1020814.0,1565262.0,1461799.0,63407822.0,1.29,45.19,94.69,59.41,816141390.0
3477,2016-12-02,15340,15440,15040,15060,-1.83%,15556.0,15642.0,15965.0,15540.0,15440.0,15140.0,949985.0,1041168.0,1542567.0,1455666.0,63390482.0,1.42,42.93,93.31,60.56,815191405.0
3478,2016-12-05,14940,15360,14860,14940,-0.80%,15368.0,15652.0,15943.0,15250.0,15150.0,14850.0,964975.0,1021163.0,1551823.0,1453418.0,63382793.0,1.6,41.98,94.56,62.18,814226430.0
3479,2016-12-06,15100,15240,14940,15020,0.54%,15180.0,15660.0,15927.0,15190.0,15025.0,14690.0,666785.0,960802.0,1549342.0,1442111.0,63386363.0,1.68,42.87,91.81,62.99,814893215.0
3480,2016-12-07,14960,15120,14960,15020,0.00%,15076.0,15698.0,15904.0,15130.0,15055.0,14830.0,578220.0,820493.0,1445755.0,1427014.0,63386363.0,1.86,42.87,91.7,64.81,814893215.0
